condition,epoch,window,observable,k,metric,value
rho2_eta2_tau20_eeon,50,exec,jpca,4,shuffle_r2_mean,0.012407637141377737
rho2_eta2_tau20_eeon,50,exec,jpca,4,shuffle_r2_std,0.0064460995684701575
rho2_eta2_tau20_eeon,50,exec,jpca,4,r2_above_shuffle,-0.009742679868970061
rho2_eta2_tau20_eeon,50,exec,jpca,6,r2_skew,0.0045085214055748946
rho2_eta2_tau20_eeon,50,exec,jpca,6,r2_full,0.013620770964702822
rho2_eta2_tau20_eeon,50,exec,jpca,6,omega_rad_per_bin,0.005085791106480627
rho2_eta2_tau20_eeon,50,exec,jpca,6,freq_hz,0.08094287941291917
rho2_eta2_tau20_eeon,50,exec,jpca,6,direction_consistency,0.625
rho2_eta2_tau20_eeon,50,exec,jpca,6,mean_tangling,0.09429102335549504
rho2_eta2_tau20_eeon,50,exec,jpca,6,shuffle_r2_mean,0.03665222860115196
rho2_eta2_tau20_eeon,50,exec,jpca,6,shuffle_r2_std,0.018027228914849182
rho2_eta2_tau20_eeon,50,exec,jpca,6,r2_above_shuffle,-0.03214370719557706
rho2_eta2_tau20_eeon,50,exec,jpca,10,r2_skew,0.055080210704928856
rho2_eta2_tau20_eeon,50,exec,jpca,10,r2_full,0.06482636893347249
rho2_eta2_tau20_eeon,50,exec,jpca,10,omega_rad_per_bin,0.0447579331781516
rho2_eta2_tau20_eeon,50,exec,jpca,10,freq_hz,0.7123446307879572
rho2_eta2_tau20_eeon,50,exec,jpca,10,direction_consistency,0.875
rho2_eta2_tau20_eeon,50,exec,jpca,10,mean_tangling,0.09920928183513983
rho2_eta2_tau20_eeon,50,exec,jpca,10,shuffle_r2_mean,0.10331857667638496
rho2_eta2_tau20_eeon,50,exec,jpca,10,shuffle_r2_std,0.016416867630120898
rho2_eta2_tau20_eeon,50,exec,jpca,10,r2_above_shuffle,-0.0482383659714561
rho2_eta2_tau20_eeon,50,prep_vs_exec,orthogonality,6,mean_angle_deg,50.64356956242821
rho2_eta2_tau20_eeon,50,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
rho2_eta2_tau20_eeon,50,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
rho2_eta2_tau20_eeon,50,prep_vs_exec,orthogonality,6,z_vs_null,-65.11024571573883
rho2_eta2_tau20_eeon,50,prep,cv_stability,6,fold_subspace_angle_deg,62.49980840589351
rho2_eta2_tau20_eeon,50,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta2_tau20_eeon,50,exec,cv_stability,6,fold_subspace_angle_deg,56.1363298002442
rho2_eta2_tau20_eeon,50,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta2_tau20_eeon,100,prep,pr,,participation_ratio,35.75104363455127
rho2_eta2_tau20_eeon,100,exec,pr,,participation_ratio,26.990600081077837
rho2_eta2_tau20_eeon,100,exec,jpca,4,r2_skew,0.002439605948186152
rho2_eta2_tau20_eeon,100,exec,jpca,4,r2_full,0.011928845557131251
rho2_eta2_tau20_eeon,100,exec,jpca,4,omega_rad_per_bin,0.002997913833513396
