label,rho0,eta_istdp,tau_istdp,ee_plasticity,epoch,pr_exec,pr_prep,ortho_deg,jpca_above_shuffle
rho5_eta1_tau10_eeoff,5.0,1e-12,0.01,False,50,37.63370636822729,9.881221076941104,73.3691291409379,-0.01522143278361552
rho5_eta1_tau10_eeoff,5.0,1e-12,0.01,False,100,40.611995649580905,12.304280997868226,73.23450893702491,-0.029815622444876608
rho5_eta1_tau10_eeon,5.0,1e-12,0.01,True,0,39.025373871912905,8.671254478517364,75.97549621727379,0.036864033277459574
rho5_eta1_tau10_eeon,5.0,1e-12,0.01,True,50,33.33988760293193,10.0369171759663,72.91696273097837,-0.012575609160311571
rho5_eta1_tau10_eeon,5.0,1e-12,0.01,True,100,46.32372411639867,11.859492640339349,75.13491174046356,-0.0037243829040109894
rho5_eta1_tau20_eeoff,5.0,1e-12,0.02,False,0,29.053133469627802,9.477210999158679,67.01481900710887,-0.027228143443111974
rho5_eta1_tau20_eeoff,5.0,1e-12,0.02,False,50,43.26027630386646,13.732726632092367,67.88669139083,-0.01080313884847603
rho5_eta1_tau20_eeoff,5.0,1e-12,0.02,False,100,37.136790396891264,15.474022008297618,70.07511291340359,0.012554878123244267
rho5_eta1_tau20_eeon,5.0,1e-12,0.02,True,0,29.053133469627802,9.477210999158679,67.01481900710887,-0.027228143443111974
rho5_eta1_tau20_eeon,5.0,1e-12,0.02,True,50,37.59415507346196,13.039788951060931,67.0549792160297,-0.06221966150922531
rho5_eta1_tau20_eeon,5.0,1e-12,0.02,True,100,43.35253116231395,15.617534584082446,71.64372049200678,-0.028662645445466733
rho5_eta1_tau40_eeoff,5.0,1e-12,0.04,False,0,40.12384441805497,11.619742110751181,58.812388076815594,-0.037948708576879625
rho5_eta1_tau40_eeoff,5.0,1e-12,0.04,False,50,36.42891757956612,18.403871746466937,57.58875199302479,-0.04491271788526724
rho5_eta1_tau40_eeoff,5.0,1e-12,0.04,False,100,38.61782219898512,21.02837457041541,62.579617083848554,-0.052728332538372474
rho5_eta1_tau40_eeon,5.0,1e-12,0.04,True,0,40.12384441805497,11.619742110751181,58.812388076815594,-0.037948708576879625
rho5_eta1_tau40_eeon,5.0,1e-12,0.04,True,50,41.02484220346304,18.244374424249028,58.611887371254355,-0.05102396204996247
rho5_eta1_tau40_eeon,5.0,1e-12,0.04,True,100,46.23229406821725,21.06385311218517,62.62657477635223,0.020966900748823306
rho5_eta2_tau10_eeoff,5.0,2e-12,0.01,False,0,32.22658631219613,9.449870707086033,68.31869638114455,-0.011610614952270198
rho5_eta2_tau10_eeoff,5.0,2e-12,0.01,False,50,37.08859665151302,12.95596256760423,68.31536197236298,0.007222541592296211
rho5_eta2_tau10_eeoff,5.0,2e-12,0.01,False,100,37.39195317779685,14.3486200914849,67.79386338334409,-0.04628086226211353
rho5_eta2_tau10_eeon,5.0,2e-12,0.01,True,0,32.22658631219613,9.449870707086033,68.31869638114455,-0.011610614952270198
rho5_eta2_tau10_eeon,5.0,2e-12,0.01,True,50,44.93354346732623,13.009364709400806,66.3291884374578,-0.013839323798020192
rho5_eta2_tau10_eeon,5.0,2e-12,0.01,True,100,45.53032272645354,14.364183641999709,70.71332357776089,-0.02436636947944351
